GEOID,Female.,Age.5.65.,X.15property.,nodiploma.,X.livingalone,X.minority,X.unemployment,X.language,X.renthouse,Novehicle.,X.noinsurance,X.disability,X.computer,X.nointernet,X.nophone,comfa,comfanormal,facility,facilitynormal,NDVI,ndvi-,road,roadnormal,green,green-,X.building,health,,Zscore,,
40027202005,0.49802545,0.221003364,0.15503876,0.130563798,0.100946372,0.514114378,0.018343419,0.036360724,0.429810726,0.00945122,0.201307384,0.17025702,0.027602524,0.083201893,0,201.9311502,0.307424895,477.1725835,0.054053142,0.527445567,0.472554433,9.63E-04,0.043896251,0.744125326,0.255874674,0.063556539,0.031961769,3.825348736,-0.470223965,,
40027202006,0.497235772,0.189918699,0.163902439,0.071118135,0.107819905,0.470243902,0.068277714,0.026671168,0.787914692,0.061899038,0.135802469,0.218885552,0.081161137,0.073459716,0,207.039326,0.541242928,399.6585369,0.043545628,0.422160977,0.577839023,3.16E-04,0.012209456,0.365418895,0.634581105,0.206917079,0.066152768,5.036798325,0.821331787,,
40027202007,0.498234775,0.141659312,0.098852604,0.09178744,0.029525032,0.503971756,0.024054983,0.014145289,0.195121951,0.019702277,0.113455866,0.125028364,0.005776637,0.031450578,0,202.4997253,0.33345045,1239.583949,0.157402773,0.544319475,0.455680525,9.40E-04,0.042769828,0.801282051,0.198717949,0.048704933,0.053035764,3.182529086,-1.155549565,,
40027202008,0.457208621,0.200460347,0.037907666,0.04029304,0.09137577,0.274115924,0.037319117,0.003396739,0.127310062,0.004416636,0.069762372,0.087202965,0.000513347,0.007186858,0,203.5857252,0.383160243,1350.193127,0.172396539,0.535145336,0.464854664,6.41E-04,0.028126316,0.777777778,0.222222222,0.008598602,0.046666667,2.764494718,-1.601226131,,
40027202107,0.520177947,0.1680966,0.052430887,0.069489185,0.034623218,0.491897045,0.036340852,0.018125855,0.16904277,0.020169161,0.041293214,0.117797695,0.00101833,0.00101833,0,202.3933282,0.328580305,1161.338273,0.146796082,0.559573485,0.440426515,0.00139589,0.065097019,0.877847424,0.122152576,0.017989811,0.071201413,2.93376481,-1.420763185,,
40027202201,0.535836828,0.253717118,0.030308807,0.071700025,0.059076923,0.292985132,0.007825874,0.012925728,0.154461538,0,0.14929414,0.151034616,0.044923077,0.04,0,201.2998234,0.278526988,2349.68888,0.307884443,0.573939193,0.426060807,6.29E-04,0.027538617,0.910278251,0.089721749,0.0452862,0.056641604,3.035750213,-1.312034076,,
40027202205,0.532930989,0.17659407,0.063945759,0.065621056,0.133944954,0.371424823,0.009473862,0.004573389,0.077431193,0.010151027,0.040494347,0.102682093,0.033394495,0.045137615,0,203.3691828,0.373248384,1241.582634,0.157673707,0.486276,0.513724,8.01E-04,0.035962309,0.664017061,0.335982939,0.131779633,0.026346005,3.242516649,-1.09159537,,
40027202301,0.488935722,0.171458678,0.039289478,0.090586845,0.0353902,0.322444679,0.023545176,0.001438619,0.050362976,0.007590133,0.088408644,0.122109717,0.020871143,0.084845735,0,196.045687,0.038027858,3020.292084,0.398788903,0.671127048,0.328872952,0.002110073,0.100074099,0.956754436,0.043245564,0.007241002,0.03457201,2.498100133,-1.88523585,,
40027202302,0.463777704,0.137942441,0.069467416,0.142741117,0.060680607,0.241812769,0.011618748,0.008587304,0.11603116,0,0.13448735,0.183921438,0.056170562,0.120131201,0.011890119,196.0316197,0.037383951,3725.897021,0.494438067,0.71984918,0.28015082,0.001545682,0.072433076,0.984731387,0.015268613,0.006954797,0.033778817,2.699668077,-1.670339383,,
40027202406,0.450906817,0.182614134,0.050836754,0.105785838,0.077562327,0.193871169,0.047738693,0.004943968,0.108033241,0,0.151038389,0.152297042,0.08956602,0.208679594,0.011080332,196.7165222,0.068734194,4417.776123,0.588226609,0.635861707,0.364138293,0.002719252,0.129908613,1,0,0,0,2.985962027,-1.365114468,,
40051000902,0.496084687,0.198230858,0.026833892,0.096157797,0.055355536,0.254640371,0.030877467,0.010670489,0.190369037,0.005253399,0.114273205,0.117046118,0.066156616,0.077407741,0.020252025,201.9999143,0.310572455,5321.305042,0.710705607,0.545291483,0.454708517,0.010879325,0.529547814,0.710526316,0.289473684,0,0.031292399,4.085909714,-0.192433595,,
40051000905,0.505833333,0.196666667,0.026484527,0.05922039,0.077901431,0.194722222,0.013394431,0,0.018282989,0,0.048031276,0.094387043,0.031796502,0.053259141,0,202.3127942,0.324893998,3671.021115,0.486999295,0.556227047,0.443772953,0.020418602,0.996733469,0.918032787,0.081967213,0,0,3.65434688,-0.652533186,,
40087400106,0.547756874,0.184334298,0.040501271,0.056737589,0.125545322,0.262662808,0.010731707,0.007650059,0.220067862,0.003885553,0.054562044,0.128284672,0.032961706,0.045079981,0.005332041,199.4143744,0.192223776,3387.834966,0.44861164,0.562642455,0.437357545,0.006503045,0.315219702,0.84729064,0.15270936,0,0,3.272215811,-1.059932375,,
40109100100,0.544640191,0.172887429,0.110480741,0.129901125,0.151447661,0.472081218,0.02114094,0.074179293,0.508908686,0.011101243,0.166816412,0.115004492,0.058463252,0.118040089,0.057906459,208.1596398,0.592523381,297.249549,0.029663449,0.47062294,0.52937706,2.14E-04,0.007214011,0.514996592,0.485003408,0.153611211,0.051311524,4.561703275,0.314821445,,
40109100201,0.578593272,0.24648318,0.059938838,0.072822823,0.270860077,0.265443425,0.026925954,0.00377596,0.358151476,0,0.144954128,0.086238532,0.044929397,0.044929397,0,210.468234,0.698195342,418.0383497,0.046037127,0.388357049,0.611642951,3.95E-04,0.016078477,0.372599232,0.627400768,0.191010165,0,4.394411289,0.136467407,,
40109100202,0.447,0.181,0.214,0.124604013,0.085470085,0.335,0,0,0.384615385,0.069805195,0.236,0.183,0.094017094,0.156695157,0.028490028,207.3194655,0.554065836,563.1934885,0.065713814,0.501852114,0.498147886,2.25E-04,0.007752735,0.606803797,0.393196203,0.14788332,0,4.206456751,-0.063915479,,
